Activity Number,ISIC Code,License Type,Activity Name,Description
AM-02640,4649047,Commercial,Wholesale of Journey Equipment and Tools Trading - Import & Export,"Trading of tools and supplies used in trips and picnics, such as tools for preserving food and drink, lighting, tents for trips, bedspreads, clothes, shoes, tools, tools and other tools and supplies that are usually used during trips, picnics or camping."
AM-02641,4653003,Commercial,Number of trade and agricultural supplies - Wholesale,"Trading of tools and tools used in agriculture, horticulture, and nurseries such as soil preparation tools, tree pruning, planting plants, palm tree planting, hoses, irrigation pots, potted carts, fruit collection baskets etc"
AM-02642,4649016,Commercial,Suitcases & Travel Requisites Wholesale,"Trading of travel bags of various types and sizes, including leather, metal, plastic or made of fabric and various textiles, as well as other tools and supplies for packing, preserving and transporting luggage and any other tools that are only used during travel."
AM-02643,4752037,Commercial,Building Hardware & Tools Trading - Import & Export,Trading all kinds of building materials and equipment of all kinds
AM-02645,4659203,Commercial,Wholesale of Workshop Metal Equipment and Tools Trading - Import & Export,"Trading of tools such as hammers, files, chisels, saws and pliers, as well as supplies used in workshops such as welding poles and skewers, replaced parts, accessories and other tools used in workshops include carpentry workshops, blacksmithing, car repair, goldsmithing, precious metals and others."
AM-02646,4649019,Commercial,Wholesale of Musical Instruments Trading - Import & Export,"Trading of musical instruments and instruments and their accessories, including string and electrical instruments, percussion instruments."
AM-02647,4662009,Commercial,Wholesale of Metal Barrels Trading - Import & Export,Trading in Metal Barrels
AM-02648,4772014,Commercial,Retai sale of Teeth Cleansers Trade,"Selling the preparations for oral hygiene, including denture adhesive cream, cushions, pastes, cleansing tablets, brushes, dental plate powder, teeth whiteners, also, oral solutions, mouth moisturizes, mouthwash, mouth and throat rinse."
AM-02649,4662010,Commercial,Wholesale of Metal Boxes and Container Trading - Import & Export,"Trading of metal cans, whether used in gifts or used in the preservation of materials of all kinds, including the activity of selling all types of other metal containers in various forms."
AM-02650,4690008,Commercial,Wholesale of Specialized Photography Equipment Tools and Outfit Trading - Import & Export,"Trading of cameras, lighting, projectors, loudspeakers, and montage systems used in broadcasting stations and television studios, as well as cinema and theater and radio and television transmission."
AM-02652,4662012,Commercial,Wholesale of Traffic and Guiding Boards and Outfit Trading - Import & Export,"Trading of plates that are used in streets, roads and public squares to guide cars and pedestrians, even if some or all of their parts are made of non-metallic materials, and also includes the sale of paper, metal or plastic traffic stickers (for the history of property), and this activity also includes the resale of traffic lights of all kinds, sizes and uses, and other supplies used in regulating the traffic of vehicles and pedestrians on the roads."
AM-02654,4663021,Commercial,"Wholesale of Buildings, Windows and Doors Metal Products Trading - Import & Export","Trading of metal manufactures for buildings, windows and doors of all kinds, except wooden ones, as well as fire-resistant, and this activity also includes the sale of locks and keys."
AM-02655,4662013,Commercial,Wholesale of Shipment Containers Trading - Import & Export,"Trading of equipment and machinery used in loading and lifting shipments, which operate manually or automatically or in trailers, whether small or large, for use in ports, airports, land customs points and others"
AM-02656,4663027,Commercial,Building & Construction Materials Trading Import & Export,Trading of all types of building materials of all kinds
AM-02659,4663002,Commercial,Wholesale of Cement and Gypsum Trading - Import & Export,Trading of cement and raw gypsum before its formation.
AM-02660,4663019,Commercial,"Wholesale of Building Sand, Pebbles and Stones Trading - Import & Export","Trading of sand, gravel and building stones"
AM-02662,4663009,Commercial,Tiles & Flooring Materials Trading,"Trading of f tiles of all kinds, such as mosaic tiles, ceramics and cement tiles, including stained tiles, and this activity also includes reselling the floors used in buildings, transportation, or other manufactured purposes"
AM-02663,4669204,Commercial,Wholesale of Agricultural and Veterinary Pesticides Trading - Import & Export,"Trade of agricultural and veterinary pesticides in the local markets, either through importing them or through local production."
AM-02664,4663020,Commercial,Wholesale of Glass and Mirror Trading - Import & Export,Trading of glass and mirrors of all kinds and various shapes
AM-02665,4669207,Commercial,sterilizers & disinfectants Trading,"Trading of disinfectants and sterilizers made of chemicals, either in a gaseous or liquid form and used to eliminate microorganisms from hands, surfaces, floors, and clothes"
AM-02666,4663031,Commercial,Wires & Cables Trading - Import & Export,Trading of wires and cables
AM-02668,4663013,Commercial,Wholesale of Cement Products Trading - Import & Export,Trading of all products made mainly of cement.
AM-02669,4669205,Commercial,Paint & Varnish Trading - Import & Export,"Trading of liquid or powdered paints and varnish painting buildings, cars, ships, furniture, including thinners, thickeners, pastes and base paints as well as varnish and similar materials."
AM-02670,4663014,Commercial,Wholesale of Gypsum Products Trading - Import & Export,Trading of products made mainly of gypsum
AM-02671,4669211,Commercial,Wholesale of Synthetic Gas Trading - Import & Export,"Trading of liquid gases used for industrial purposes, such as workshop welding, and gas for operating household air-conditioners and refrigerators, involving also, liquefied natural gas used for generation of electricity, production of hydrogen and ammonia after warming the LNG into natural gas , also, compressed natural gas is used as an alternate to gasoline / diesel for automobiles."
AM-02672,4663012,Commercial,Wholesale of False Ceiling Trading - Import & Export,"Trading of false ceilings made of aluminum, gypsum, plastic, wood others."
AM-02673,4669212,Commercial,Wholesale of Dyeing and Canning Material Trading - Import & Export,"Trading of the solutions that contain dyes and particular chemical material used to add color to textile products, it also involves the acidic chemical compounds for treating skins of animals to produce leather."
AM-02676,4663004,Commercial,Wholesale of Sanitary Ware and Connections Trading - Import & Export,"Includes commercial establishments that do wholesale trade in sanitary ware such as sinks, bathtubs, toilets and their accessories, and special sanitary installations such as iron and plastic pipes used in connections such as elbows, etc., faucets, valves, bathroom installation tools ..."
AM-02677,4669901,Commercial,Plastic & Nylon Raw Materials Trading - Import & Export,"Trading of high or low density chemicals (plastics ) for manufacturing plastic products, nylon and PVC, whether granules or polyethylene, polypropylene, polystyrene or others."
AM-02678,4663010,Commercial,Electrical Fittings Trading - Import & Export,"Includes commercial establishments that do wholesale trading in the sale of electrical tools and their extensions from assembly boxes, distribution panels, wire-carrying columns, rails, ducts or sewers through which cables are passed, and this activity does not include any other activities for the sale of any of the electricity ..."
AM-02679,4669902,Commercial,Trade polyurethane foam - Wholesale,"Trading of natural and industrial sponges in the form of its raw material, which is used in various industries, as well as the sale of chemicals used in the manufacture of industrial sponges"
AM-02680,4752045,Commercial,Retai sale of Prefabricated Houses and Parts,Sale of Prefabricated Houses and Parts
AM-02681,4669903,Commercial,Wholesale of Rubber Trading - Import & Export,Trading of raw rubber for use in industrial purposes
AM-02682,4663037,Commercial,Wholesale of Swimming Pools Trading - Import & Export,Trading of swimming pools of all kinds and sizes
AM-02683,4669214,Commercial,Wholesale of Development Material Trading - Import & Export,Trading of photography processing chemicals and photographs printing papers.
AM-02684,4663005,Commercial,Wholesale of Tanks and Reservoirs Trading - Import & Export,"Trading of tanks and fixed tanks made of metal, plastic, reinforced fibers, or other materials, and used in residential, commercial and industrial buildings to store water"
AM-02685,4669210,Commercial,Wholesale of Medical Gas Trading - Import & Export,"Trading gases packed in special containers and prepared for use in medical and therapeutic purposes such as oxygen, sterilization and anesthesia gases, and others."
AM-02686,4663018,Commercial,Pipes & Fittings Trading Import & Export,"Trading of galvanized iron, plastic or copper pipes and tubes, as well as plastic, rubber or other hoses used in water or sewage installations, electrical wires, gas, or fuel"
AM-02687,4669215,Commercial,Wholesale of Fire Fighting and Resisting Material Trading - Import & Export,"Trading of fire control and extinguishing gases, foams and specially treated water, as well as these materials original chemicals."
AM-02688,4663023,Commercial,Wholesale of Fibre-glass Products Trading - Import & Export,"Trading of wires and cables made of optical fibers for various purposes, as well as the resale of their accessories and accessories such as connections, sockets, feeding points, control and distribution boxes and other devices, supplies and accessories related to them"
AM-02692,4752026,Commercial,Retail Sale of Décor and Partitions Material - Import & Export,"Trading of indoor and outdoor decoration materials and products as well as home and office interior design, including gypsum engraves, wood and cement partitions, fittings of artificial decorators such as fountains, waterfalls and water ways, ready-made partitions used to divide space in offices made of wood, carton, aluminum, steel sheets or others."
AM-02693,4669218,Commercial,Wholesale of Self-adhesive Material Trading - Import & Export,"Trading of glass, metal, plastic, wood fixing adhesive, packs, boxes, carton boxes closing tapes, paper, tiles, flooring and cladding adhesives and tapes, and any other material not classified under glue and gum."
AM-02694,4753006,Commercial,Retail Sale of Wallpaper,Selling wallpaper in different designs to cover cracks and decorate interior walls in residential and commercial facilities.
AM-02695,4669219,Commercial,Wholesale of Glue and Gum Trading - Import & Export,Trading of glue as well as glue for direct use or for various industrial uses in the production of other chemical compounds such as adhesives
AM-02696,4753005,Commercial,Retail Sale all kinds of ready-made curtains,Preparing all kinds of curtains and fixing in different facilities.
AM-02697,4669220,Commercial,Wholesale of Insulating Material Trading - Import & Export,"Trading of insulators and requisites used as humidity proof, water sealants, sun or generated heat proof, acoustic enclosures, vibration isolators, anti-radiators, electric and magnetic insulation, metal and wood protectors of rust, corrosions, humidity, and heat, as well as any material used in constructions wood, machinery, furnaces, vehicles marine equipment etc."
AM-02698,4662016,Commercial,Wholesale of Lighting Columns Trading - Import & Export,Trading in Lighting Columns
AM-02699,4669222,Commercial,Wholesale of Oil Well Chemicals Trading - Import & Export,"Trading of chemicals for various oilfield applications like production, well stimulation, drilling and injection."
AM-02700,4752028,Commercial,Retail sale of Scaffold,Trading in scaffold
AM-02701,4669104,Commercial,Wholesale of Plastic Waste Trading - Import & Export,"Trading of all non- hazardous plastic waste, such as water bottles, boxes, shopping bags, dishes and food containers, after being used and disposed of by households, industrial and agricultural facilities, in order recycle and transform into new plastic products."
AM-02703,4663008,Commercial,Wholesale of Natural Stone Trading - Import & Export,"Trading of types of natural stones and others, such as limestone, include this activity includes establishments that sell these materials in their raw form in the form of blocks or slabs before performing any industrial or transformational operations on them."
AM-02705,4669208,Commercial,Wholesale of Synthetic Chemical Trading - Import & Export,"Trading of intermediate chemicals such as resins, compounds, salts, sulfates, sulfurs, and others used in manufacturing by blending with other substances to produce paints, ink, cosmetics, detergents, fertilizers, pesticides, final chemical products, manufacturing metals, water purification and sterilization, in food industries such as preservatives, colorants, additives, flavors and fragrances, or in environment protection."
AM-02706,4663001,Commercial,Timber trade - Import & Export,"Trading of all types of wood in its original condition or after cutting it in the form of panels, slices or blocks so that they are ready to be used for construction or various industrial purposes."
AM-02707,4669223,Commercial,Wholesale of Chemical Material Trading for Building Purposes - Import & Export,"Trading of chemical agents and products to use in building for concrete improving and curing before and after pouring, water and humidity proofing, pounding and adhesion, joints sealing, solvents, floors handling, pasting and painting."
AM-02708,4663015,Commercial,Wholesale of Wood Products Trading - Import & Export,"Trading of products made mainly of wood, such as doors, windows, stairwells, mashrabiyas, interior decoration supplies, and others."
AM-02709,4669224,Commercial,Wholesale of House Pesticides Trading - Import & Export,Trading in Household Pesticide
AM-02712,4669203,Commercial,Wholesale of Chemical Fertilizers Trading - Import & Export,"Trading of synthetic chemical compounds containing plant nutritive elements, usually containing one or more fertilizing elements."
AM-02713,4669904,Commercial,Wholesale of Canvas and Ropes Trading - Import & Export,"Trading of bags and ropes made of natural fibers, linen, plastic or other materials."
AM-02714,4669905,Commercial,Wholesale of Paper Trading - Import & Export,"Trading of natural raw materials or otherwise and used for commercial or industrial purposes such as printing paper, newspapers, construction purposes or other purposes"
AM-02715,4669907,Commercial,Packaging Materials Trading - Import & Export,"Materials used in the purposes of wrapping and packing, whether those materials are paper, plastic, metal, or consisting of more than one of those materials, including containers, cans, bottles, plates, sheets, chips, laces, etc."
AM-02716,4620206,Commercial,Wholesale of Tanned Leather Trading - Import & Export,Trading of tanned and processed animal leather to render for industrial or any other use.
AM-02717,4669101,Commercial,Waste Paper Trading - Import & Export,"Trading of paper waste is collected from various sources which are recyclable, and the production of new paper products, these are the remnants of paper waste in the snippets, as well as the remains of the consumed paper both after packaging and printed materials."
AM-02718,4669106,Commercial,Wholesale of Scrap Trading of Used Pipes and Tubes - Import & Export,"Trading of Scrap, Used Pipes and Tubes"
AM-02719,4669908,Commercial,Wholesale of Upholstery Material and Outfit Trading - Import & Export,"Trading upholstery-related materials such as fabrics, leather, buttons upholstering to automobile and marine seats furniture and marine."
AM-02720,4641108,Commercial,Wholesale of Tailoring Outfit Trading - Import & Export,"Trading of sewing supplies such as buttons, sewing needles, scissors, rulers, embroidery supplies of gold and silver threads, lobes, colored ribbons, logos, badges, stickers or embroidered or made of certain materials and others."
AM-02721,4669909,Commercial,Wholesale of Plastic Bags and Containers Trading - Import & Export,"Trading of f plastic containers such as bottles, cans and buckets include plastic bags used in shops to pack goods and goods."
AM-02722,4669910,Commercial,Wholesale of Threads and Yarns Trading - Import & Export,"Trading of all kinds of threads for tailoring and embroidering garments, curtains, drapery and upholstery, also, includes cotton and wool yarns used in weaving and spinning industries."
AM-02723,4753004,Commercial,Retail Sale of Curtains and Upholstery Cloth,Trading of different fabrics for curtains and upholstery.
AM-02724,4620208,Commercial,Fish & Meat Wastes Trading - Import & Export,"Trading of fish crusts and intestines, slaughtered animals and bird’s blood, intestines, and non-edible parts in order to be used commercially or industrially.."
AM-02725,4659957,Commercial,Wholesale of Poultry Equipment and Apparatuses(Farms) Trading - Import & Export,"Trading of machinery and equipment used in livestock and sheep farms or pens or in chickens, ducks, pigeons and other birds and animals"
AM-02726,4669911,Commercial,Wholesale of Raw Material Trading - Import & Export,Trading of raw materials which are included in industrial that they are not suitable for use in any way before they are processed.
AM-02727,4659914,Commercial,Wholesale of Vending Equipment Trading - Import & Export,"Trading of equipment and machinery used in public places for the automated sale of refreshments, fruits and snacks, as well as the sale of newspapers and publications, CDs, cigarettes, photography booths, and also includes machines for paying utility bills such as telecom bills and others."
AM-02728,4669226,Commercial,Wholesale of Laboratory and Factory Chemicals Trading - Import & Export,"Trading of chemicals that are used for the purposes of conducting experiments and scientific research or conducting analyzes, tests and examinations in laboratories , such as organic and inorganic acids, alkalis, alcohols, salts, samples of elements, compounds"
AM-02730,4669912,Commercial,Wholesale of Natural Fibres and Cotton Trading - Import & Export,"Trading of raw cotton before conducting any industrial or manufacturing operations on it for use in various industrial or commercial purposes, as well as the trade of other natural fibers such as flax, jute, hemp and others"
AM-02732,4669227,Commercial,Wholesale of Petrochemical Material Trading - Import & Export,"Trading of petrochemicals derived from the conversion of light petroleum refining derivatives such as olefins to butylene, ethylene, propylene and aromatics to benzene, toluene, xylene and methanol to formaldehyde in addition to ammonia and urea, as well as petrochemicals intermediates such as monophenyl chloride or final petrochemicals such as polyethylene and polyvinyl chloride in addition to carbon and hydrogen used for various commercial and industrial purposes in their initial form before processing or any conversion operations on them"
AM-02733,4659206,Commercial,Wholesale of Painting Equipment and Machinery Trading - Import & Export,"Trading of equipment and machinery used in dyeing, painting, painting or polishing include the sale of building materials."
AM-02734,4669913,Commercial,Wholesale of Plastic Plates Trading - Import & Export,"Trading of panels made of plastic or similar materials including PVC panels, fiberglass panels, acrylic and others"
AM-02735,4659207,Commercial,Wholesale of Mills and Bakeries Equipment and Machinery Trading - Import & Export,"Trading of milling and bakery equipment and machinery, such as flour sifting machines, milling machines, crunching machines and seed screening, and includes conveyor belts for bread during production stages and automatic baking ovens."
AM-02736,4653001,Commercial,Wholesale of Agricultural Machinery And Equipment And Outfit Trading - Import & Export,"Trading tractors and agricultural machinery such as plows, seeders, harvesters and others and their accessories from the parts that are added to them to diversify their uses."
AM-02737,4659111,Commercial,Wholesale of water treatment equipment and purification Trading - Import & Export,"Trading of water treatment equipment and machinery, including domestic water treatment and purification machines."
AM-02738,4653002,Commercial,Wholesale of Equipment and agricultural machinery and accessories Trading - Import & Export,"Trading tractors and agricultural machinery such as plows, seeders, harvesters and others and their accessories from the parts that are added to them to diversify their uses."
AM-02739,4659915,Commercial,Wholesale of Water Cooling and Heating Equipment and Machinery Trading - Import & Export,"Trading of equipment used in buildings, factories and hotels for the purpose of cooling or heating water centrally, such as central refrigerators, boilers and others, include water coolers used in public places such as hospitals, schools, mosques, and others."
AM-02740,4659941,Commercial,Wholesale of Spare Parts Trading of Machines and Motors - Import & Export,"Trading of spare parts, components and elements that go into installing machines, motors, pumps, transmission, driving and rotating boxes such as flexible tubes and hoses made of metal, plastic or special tissues, and other hoses with specialized uses for machines and motors that operate with hydraulic pressure or Gas, as well as other spare parts such as belts (belts), load rests, gears, clutch gears, drive shafts, bearings, drive arms, and others other than the parts used in automobile and vehicle engines."
AM-02741,4659208,Commercial,Printing Equipment & Instruments Trading - Import & Export,"Trading of equipment used for different printing methods and techniques including optical offset, drilling, drilling and engraving, printing fabrics, recessed manual printing, Bindery"
AM-02742,4659201,Commercial,Workshop Equipment and Machines and Spare Parts Trading - Import & Export,"Includes reselling of workshops cutting, welding, balancing, pressure gauging and other equipment and machinery, also, any other equipment and machinery for carpentry, smithery, lathe workshops, auto and electronic workshops."
AM-02743,4773509,Commercial,Retail sale of Lighting Equipment and Outfits - Import & Export,"Trading of lighting devices in public gardens, parks, squares, airports, sports stadium and others."
AM-02744,4659202,Commercial,Industrial Plant Equipment & Spare Parts Trading - Import & Export,"Trading of equipment and machinery installed in industrial plants or used in industrial production, such as, oil refineries, petrochemicals, food and plastic industries …etc., such firms are allowed to carry out the installation, repair and maintenance services for the equipment they deal in."
AM-02745,4659916,Commercial,Wholesale of Restaurants and Kitchens Equipment and Outfit Trading - Import & Export,"Trading of industrial kitchens equipment and machinery usually used by hotels, restaurants and hospitals to prepare, preserve and serve meals. These equipment are ovens, grillers, dishwashers, cold rooms, chillers, warmers and refrigerators, (glass fronts) service counters, conveyor belts etc.."
AM-02746,4659901,Commercial,Wholesale of Oil and Natural Gas Well Equipment and Devices and Spare Parts Trading - Import & Export,Trading in Oil and Natural Gas Well Equipment and Devices and Spare Parts
AM-02747,4659917,Commercial,Wholesale of Cities Cleaning Equipment Trading - Import & Export,Trading in Cities Cleaning Equipment
AM-02748,4652001,Commercial,Wholesale of Telecommunication Equipment Trading - Import & Export,"Trading and operation of wired communication equipment such as installations, equipment and devices necessary for the telecommunications network and public calling, such as exchanges and central exchanges, as well as sub-exchange equipment used in large residential facilities and complexes, intercom systems, fiber optic or copper connection networks, voice amplification and internal pager systems"
AM-02749,4659918,Commercial,Wholesale of Building Cleaning Equipment Trading - Import & Export,Trading in Building Cleaning Equipment
AM-02750,4659902,Commercial,Wholesale of Solar Power Equipment and Outfit Trading - Import & Export,"Trading of solar panels and slabs energy systems (photovoltaic) installed on tops and facades of residential and commercial buildings, or on the ground to generate power for use in water heating and cooling and energy supply."
AM-02751,4773930,Commercial,Retail sale of Sea Cleaning Equipments,Retai sale of Sea Cleaning Equipments
AM-02752,4659910,Commercial,Wholesale of Safety and Fire Fighting Equipment and Devices Trading - Import & Export,"Trading of equipment and devices that are used for occupational safety and prevention of work accidents and natural hazards, such as lightning rods and firefighting and extinguishing equipment, with the exception of firefighting vehicles."
AM-02753,4659920,Commercial,Wholesale of Environment Protection Equipment Trading - Import & Export,"Trading in machinery, equipment, equipment and devices for protecting the environment from pollutants or factors affecting it negatively, including equipment for wastewater treatment, waste recycling and others."
AM-02754,4659903,Commercial,Wholesale of Scientific and Practical Equipment and Devices Trading - Import & Export,"Trading in all devices, machines and equipment that are used inside scientific or medical laboratories and laboratories or research and laboratory tests or others."
AM-02755,4659921,Commercial,Wholesale of Clothes Cleaning Equipment Trading - Import & Export,"Trading of machinery and equipment used in laundries and laundries for the purpose of removing dirt from clothing and textiles include bedspreads, linens, curtains, rugs and other textiles by washing or cleaning them with steam or dry, as well as ironing and preservation equipment."
AM-02756,4659211,Commercial,Wholesale of Measurement and Control Equipment and Devices Trading - Import & Export,"Trading of all equipment and devices that are used in measurement, whether to measure areas or quantities such as accurate balances or to measure distances and height or to monitor dimensions and environmental and geographical variables, and also includes the resale of equipment and devices used in controlling the quantities of flowing materials such as water, liquids and electrical energy, as well as all devices and tools for rationalizing water and electric energy, gases, etc., speeds, or in organizing movement at the level of production, This includes water and electricity meters, taxi equipment, surveying and meteorological devices, as well as door and window control systems, among others."
AM-02758,4659107,Commercial,Wholesale of Preservation and Cooling Equipment and Devices Trading - Import & Export,"Trading of central equipment used in cooling foodstuffs, medicines and chemicals or freezing them to save them from damage, including refrigerated stores and freezers (freezers), whether for the purpose of storing those materials or for display in grocery stores and consumer complexes (supermarkets)"
AM-02759,4659923,Commercial,Wholesale of Office Equipment and Machinery Trading - Import & Export,Trading in Office Equipment and Machinery
AM-02761,4659924,Commercial,Wholesale of General Stores Equipment and Installations Trading - Import & Export,"Trading of Office Equipment and Machinery Trading equipment and installations that are used in public stores such as grocery stores, consumer complexes, libraries, shops and exhibitions such as shelves and cabinets for display or food preservation or shelves for storing goods and goods, reception platforms (counters), electronic promotional machines and others, as well as all their requirements of tools such as goods transport vehicles, equipment for registering purchases, keeping money, insect traps, etc."
AM-02763,4659925,Commercial,Wholesale of Packaging and Wrapping Equipment Trading - Import & Export,Trading of packaging equipment
AM-02764,4659301,Commercial,Wholesale of Construction and Building Equipment and Machinery and Outfit Trading - Import & Export,Trading of construction equipment and machinery and their accessories
AM-02765,4659926,Commercial,Wholesale of Well Drilling Equipment Trading - Import & Export,Trading of equipment for drilling wells and accessories
AM-02767,4659927,Commercial,Wholesale of Insects and Rodents Pesticides Equipment Trading - Import & Export,"Trading of pests control and fighting devices, except pesticides"
AM-02768,2824011,Commercial,Construction Equipment & Machinery Spare Parts Trading  Import & Export,"Trading of construction equipment and machinery, such as stationary and mobile machinery and equipment used in the construction and building operations, for example crawler tractors, downhill tractors, quarries and other construction machinery used on construction sites."
AM-02769,4659304,Commercial,Wholesale of Airport Equipment Trading - Import & Export,Trading in Airport Equipment
AM-02771,4659928,Commercial,Wholesale of Parks Equipments Trading - Import & Export,"Trading of out-door and parks equipment and fittings such as seats, umbrellas, flower pots, garbage baskets, camping items and others."
AM-02773,4659929,Commercial,Sports Field Equipment Trading Import & Export,Trading in Sports Field Equipment
AM-02774,4659302,Commercial,Wholesale of Lifting and Loading Equipment and Machinery Trading - Import & Export,"Trading of equipment and machinery used in loading and lifting shipments, which work manually or automatically or trailer, whether small or large, for use in ports, airports, land customs points and others such as cranes"
AM-02777,4659931,Commercial,Wholesale of Veterinary Apparatuses and Outfit Trading - Import & Export,Trading of Veterinary Apparatuses and Outfit
AM-02778,4652003,Commercial,Wholesale of Precise Electronic Devices Trading - Import & Export,"Trading of electronic devices specialized in monitoring phenomena that cannot be perceived by ordinary senses, such as devices used in monitoring sound waves, vibrations, seeing nanobodies"
AM-02779,4659210,Commercial,Wholesale of Sewing Machine and Outfit Trading - Import & Export,"Trading of sewing machines, accessories and spare parts, including buttonhole machines (overlock) and waxing machines for fabrics."
AM-02780,4659932,Commercial,Wholesale of Elevators and Escalators and Spare Parts Trading - Import & Export,"Trading of elevators used to carry people, goods or others inside buildings, as well as the resale of escalators and moving belts used in public facilities such as airports, shopping centers, hotels, and others."
AM-02781,4659103,Commercial,"Pumps, Engines, Valves & Spare Parts Trading - Import & Export","Trading of pumps used in pumping water or other liquids, as well as engines and machines used in means of transportation such as ships, boats, vehicles, machinery, etc., as well as used in the operation of equipment"
AM-02782,4659933,Commercial,Wholesale of Calculators and Outfit Trading - Import & Export,Trading of Calculators and Outfit
AM-02783,4659934,Commercial,Wholesale of Typewriter and Photocopier and Outfit Trading - Import & Export,"Trading of experiments include the sale of typewriters, copiers (photocopiers) and printing machines (stencils), as well as microfilm photocopiers, microfilm and microfilm display machines and copies, as well as the resale of accessories for these machines, spare parts and operating supplies such as tapes, inks and chemicals."
AM-02784,4659104,Commercial,"Power Generation, Transmission & Distribution Equipment Trading -Import & Export","Trading of equipment and devices include turbines, generators or reactors used in electric power plants, as well as transmission equipment such as relay and feeding stations, and distribution equipment such as switchgear, current rectifiers, control and grounding devices, and others, whether used for general or private purposes."
AM-02785,4659935,Commercial,Wholesale of E-gates and Barriers Trading - Import & Export,"Trading of gates and electronic equipment for doors that are controlled in the opening and closing of automatic remote control, as well as barriers that are used to regulate entry and exit in private and public parking automatically."
AM-02786,4653010,Commercial,Wholesale of Irrigation Equipment and Devices and Outfit Trading - Import & Export,"Trading of irrigation equipment and devices and their supplies. This includes trading in pivot irrigation devices, their spare parts and supplies, irrigation equipment, irrigation hoses and irrigation network components."
AM-02787,4662005,Commercial,Gold and Diamond trading Import & Export,"Trading of precious metals such as gold, silver, platinum and others or their raw materials in their original state in nature before extracting from them or in the form of ingots, blocks, threads or chips before they are formed, manufactured or formulated."
AM-02788,4659936,Commercial,Wholesale of Engineering Drawing Equipment Trading - Import & Export,Trading of Engineering Drawing Equipment
AM-02790,4659962,Commercial,Wholesale of Alarm And Monitor Devices And Equipment Trading - Import & Export,Trading in alarm and surveillance devices
AM-02792,4653009,Commercial,Wholesale of Agricultural Greenhouse Equipment And Outfit Trading - Import & Export,"Trading all types of ordinary agricultural greenhouses, equipment and accessories such as air-conditioned agricultural greenhouses - plastic covers and air-conditioned agricultural greenhouses - fiberglass cover Multi-arch air-conditioned halls"
AM-02797,4711002,Commercial,Super Market,"Selling of consumer goods and products such as fresh, preserved and canned foodstuffs, as well as household tools and utensils, cleaning supplies and other consumer goods for personal and household use, with fewer spaces than cooperative societies."
AM-02798,4659937,Commercial,Wholesale of Meat and Fish Preparation Machines Trading - Import & Export,"Trading of equipment and machinery used in the preparation of slaughtered livestock and poultry, as well as fish and marine life, such as skinning, plucking feathers, removing scales, cleaning and removing unwanted parts, as well as equipment and machinery for processing their meat such as cutting into slices or links, for chopping or other operations."
AM-02800,4659209,Commercial,Wholesale of Sewing and Weaving Equipment and Spare Parts Trading - Import & Export,"Trading of industrial equipment for textile machinery and equipment, including the sale of spare parts and supplies for spinning equipment and machinery."
AM-02801,4711004,Commercial,Mini Market,"Selling of refreshments, gifts, magazines and newspapers and some personal goods and requisites."
AM-02802,4659938,Commercial,Equipment and Apparatuses Trading of E-games and Entertainment Halls - Import & Export,"Trading of equipment, devices, and tools that are used in the entertainment and entertainment halls such as billiard tables and their accessories, bowling hall equipment and accessories, electronic game halls and home video games."
AM-02803,4711005,Services,Mill,"Grinding some types of foodstuffs such as grains, spices, coffee and others for others for a fee, or grinding and packing them in containers of consumer sizes and pre-processing"
AM-02805,4711006,Services,Roasting Shop,"Roasting nuts, coffee beans, spices, cereals or others, and make the packing in small consumer packs, as well as carry out roasting for others, also, reselling gifts, novelties, artificial flowers and some foodstuff items, such shops are small that they are not classified as industrial firms of category"
AM-02806,4659305,Commercial,Wholesale of Ships and Boats Trading - Import & Export,Trading of ships and boats
AM-02809,5629002,Services,Ready-made Food Catering Contracts (Meal Preparation),"Provide companies such as schools, institutes, hospitals, aircraft, ships, contractors and others with ready-made meals that are prepared and prepared in the kitchens of the facility and are equipped with the necessary equipment and equipment to prepare, pack, package and transport these meals, in addition to establishments that have the technical capabilities and trained labor to prepare these meals in the kitchens of the bodies and companies that contract with them for this purpose."
AM-02810,4659307,Commercial,Wholesale of Spare Parts and Sections Trading of Ships and Boats - Import & Export,Trading of ship and boat spare parts and components
AM-02812,4773708,Commercial,Aircraft Spare Parts & Components Trading Import & Export,"Trading of aircraft spare parts and other components and supplies used in the repair, maintenance, renewal, or upgrading of their operational efficiency, or providing them with security and safety devices, or other components and supplies."
AM-02814,4659940,Commercial,Wholesale of Children Games Outfit Trading - Import & Export,"Trading of equipment and equipment installed inside indoor halls or in parks and public squares that are used for children's games and entertainment such as swings, sliding platforms, stabilization, house models or other equipment, whether these toys are safe solids or inflatable toys."
AM-02815,4719001,Commercial,Multi-section Store,"Stores that sell a variety of goods and products and are distributed in different sections included in the place of work to facilitate sales operations such as the sale of furniture, home furnishings, ready-made clothes, shoes, electrical appliances, utensils, household appliances, perfumes, medicines, gifts, toys, as well as foodstuffs and may contain a restaurant to provide meals to other sections.."
AM-02819,4791012,Commercial,Retail sale of Goods Using Catalogues,Sale of various goods and products through books or illustrated lists (catalogs).
AM-02821,4799002,Commercial,Sale of goods by vending equipment (except for food and drinks) - Stores,"Selling through self-service machines for refreshments, fruits and snacks as well as selling newspapers and publications, CDs, cigarettes,"
